userId,movieId,rating,timestamp
103,442,4,1060478662
436,279,5,1557952983
861,251,5,1221330344
271,310,3,1584701943
107,208,3,1265715105
72,321,3,1135989299
701,140,4,1440734938
21,280,5,1516803077
615,34,4,1366144862
122,309,3,1148660289
467,392,5,1017484809
215,18,2,1594088137
331,57,1,1063327108
459,112,1,1160545526
88,5,3,1208026465
373,410,4,1486977862
100,414,2,1468485136
872,182,5,1320418314
664,13,4,1469294385
131,339,3,1061363179
662,285,4,1200147447
309,259,3,1239084275
770,90,1,1037003220
344,104,1,1312399738
492,379,4,1204073500
414,186,2,1381933026
806,250,5,1026229613
386,255,3,1127822763
192,76,5,1029930992
956,386,1,1245331514
277,459,2,1590597774
161,108,2,1420985669
460,156,5,1366104289
314,82,1,1447721123
22,77,5,1273877075
253,485,4,1124974708
748,470,2,1509039935
857,460,2,1003991755
561,258,4,1211211618
475,127,1,1488907760
59,485,2,1594457114
511,391,3,1205940490
682,282,3,1077695551
476,474,1,1576338034
700,88,4,1476448193
976,204,5,1189031349
783,16,1,1003567516
190,151,5,1485270572
958,424,1,1262720335
687,254,3,1258241950
958,188,4,1401967792
563,329,3,1075617258
876,32,4,1022153114
567,271,5,1513168823
244,485,1,1448520808
832,397,2,1130039164
505,5,2,1004679501
131,459,4,1217170220
485,330,4,1122758104
819,308,3,1203257002
647,333,2,1070724962
21,169,3,1075798298
841,181,5,1026859047
167,366,2,1596795417
274,178,5,1254574674
388,143,1,1095461548
601,362,3,1375833574
316,248,4,1271141957
14,127,2,1548712453
242,263,3,1016738366
777,40,4,1431197196
346,412,1,1370828024
565,416,2,1550093004
898,355,5,1052262652
340,255,1,1559371428
92,143,4,1468248563
367,240,2,1451780232
956,228,2,1466744172
455,341,1,1312835903
428,198,2,1170361656
509,65,4,1488148644
776,388,1,1015013322
943,11,5,1300668696
35,108,1,1360577657
206,26,1,1385937208
81,445,5,1253010758
932,421,4,1338090608
562,151,3,1582993833
872,221,3,1584123305
388,341,5,1581107502
2,496,4,1239794562
390,237,2,1347704153
566,237,5,1382134361
106,497,3,1077884554
772,219,4,1049482374
822,487,1,1250809867
477,424,4,1073008371
703,461,4,1427229605
402,151,3,1147594089
730,123,3,1281421433
556,144,2,1551274548
162,478,2,1044784601
202,189,5,1051704821
958,255,1,1105308063
996,68,2,1112635747
270,104,3,1056533676
863,336,4,1110692530
816,159,5,1266282037
271,309,2,1157097108
456,362,4,1358527151
462,409,4,1492787227
727,300,2,1173241749
252,396,1,1443594194
702,90,1,1039634799
296,357,5,1538808448
725,256,1,1253979870
720,496,5,1443126643
749,353,3,1330613161
338,220,2,1296913249
879,9,4,1041067245
53,12,5,1535065319
792,325,1,1205929797
922,438,5,1306869250
217,244,5,1272686160
764,182,1,1384155691
188,284,1,1448845978
380,312,2,1237851570
493,99,4,1274646551
41,197,2,1217520019
157,482,2,1571887714
15,366,1,1245853580
813,226,1,1391761775
65,333,4,1523792554
857,103,5,1411844755
839,106,2,1353765498
521,365,4,1506945647
344,368,2,1459510782
129,58,5,1397024385
648,78,2,1359178074
472,75,3,1234202840
63,42,4,1500143711
139,422,1,1064859792
499,324,2,1054201888
593,181,4,1123436036
392,33,4,1347921525
675,71,2,1059938552
419,56,1,1306067216
289,105,1,1365790197
379,200,2,1498594668
773,101,4,1418325031
490,256,1,1579214559
231,307,2,1423068956
41,74,2,1533030105
28,171,2,1405385651
135,377,4,1536646363
201,143,1,1571602760
840,166,4,1373355796
780,399,3,1192970811
930,261,1,1002123361
33,221,4,1005340534
48,83,1,1169716115
503,182,3,1067058544
407,307,5,1034676404
574,10,2,1430847470
728,396,4,1041794150
805,4,3,1486760783
99,351,3,1513696574
684,402,1,1364021304
872,336,1,1458477852
726,488,2,1399022033
987,292,1,1120199482
547,281,4,1086778815
961,215,4,1063831751
739,460,4,1317518707
613,98,5,1339356578
943,420,4,1023282710
462,101,1,1286925868
643,451,1,1137599009
769,9,4,1120340037
